순번	주차	주차날짜	2루트G	환율가격	V	최소	최대
71	142 주차	1/1~1/12	1.73	1289.40	1289.4	1250.72	1288.24
72	144 주차	1/15~1/26	1.73	1289.40	1289.4	1250.72	1288.24
73	146 주차	1/29~2/9	1.73	1335.70	1302.77	1263.69	1301.6
74	148 주차	2/12~2/23	1.73	1325.30	1309.27	1269.99	1308.09
75	150 주차	2/26~3/8	1.73	1331.00	1315.54	1276.07	1314.35
76	152 주차	3/11~3/22	1.73	1329.60	1319.6	1280.01	1318.41
77	154 주차	3/25~4/5	1.73	1326.30	1321.53	1281.88	1320.34
78	156 주차	4/8~4/19	1.73	1346.80	1328.82	1288.96	1327.63
79	158 주차	4/22~5/3	1.73	1375.90	1342.41	1302.14	1341.2
80	160 주차	5/6~5/17	1.73	1378.50	1352.83	1312.25	1351.62
81	162 주차	5/20~5/31	1.73	1349.40	1351.84	1311.28	1350.62
82	164 주차	6/3~6/14	1.73	1376.50	1358.96	1318.19	1357.74
83	166 주차	6/17~6/28	1.73	1371.00	1362.44	1321.57	1361.22
84	168 주차	7/1~7/12	1.73	1389.20	1370.16	1329.06	1368.93
85	170 주차	7/15~7/26	1.73	1380.10	1373.03	1331.84	1371.8
86	172 주차	7/29~8/9	1.73	1385.40	1376.6	1335.3	1375.36
87	174 주차	8/12~8/23	1.73	1377.70	1376.92	1335.61	1375.68
88	176 주차	8/26~9/6	2.23606798	1386	1378.95	1337.58	1377.71
89	178 주차	9/9~9/20	2.23606798	1377	1378.51	1337.15	1377.26
90	180 주차	9/23~10/4	2.23606798	1369	1376.38	1335.09	1375.14
91	182 주차	10/7~10/18	2.23606798	1362	1373.16	1331.97	1371.93
92	184 주차	10/21~11/1	2.23606798	1348	1367.53	1326.5	1366.3
93	186 주차	11/4~11/15	2.23606798	1353	1364.28	1323.35	1363.05
94	188 주차	11/18~11/29	2.23606798	1342	1359.3	1318.52	1358.08
95	190 주차	12/2~12/13	2.23606798	1340	1354.98	1314.33	1353.76
96	192 주차	12/16~12/27	2.23606798	1363	1356.77	1316.07	1355.55
97	194 주차	12/30~1/10	2.23606798	1337	1352.35	1311.78	1351.13
98	196 주차		2.23606798	1345	1350.71	1310.19	1349.5
99	198 주차		2.23606798	1383	1357.93	1317.19	1356.71
100	200 주차		2.23606798	1340	1353.92	1313.3	1352.7
101	202 주차		2.23606798	1333	1349.24	1308.76	1348.02
102	204 주차		2.23606798	1363	1352.32	1311.75	1351.1
103	206 주차		2.23606798	1389	1360.52	1319.7	1359.29
104	208 주차		2.23606798	1334	1354.59	1313.95	1353.37
105	210 주차		2.23606798	1354	1354.46	1313.83	1353.24
106	212 주차		2.23606798	1348	1353.02	1312.43	1351.8
107	214 주차		2.23606798	1363	1355.25	1314.59	1354.03
108	216 주차		2.23606798	1383	1361.46	1320.62	1360.24
109	218 주차		2.23606798	1378	1365.16	1324.21	1363.94
110	220 주차		2.23606798	1358	1363.56	1322.65	1362.33
111	222 주차		2.23606798	1355	1361.65	1320.8	1360.42
112	224 주차		2.23606798	1393	1368.66	1327.6	1367.43
113	226 주차		2.23606798	1369	1368.74	1327.68	1367.51
114	228 주차		2.23606798	1382	1371.71	1330.56	1370.48
115	230 주차		2.23606798	1397	1377.37	1336.05	1376.13
116	232 주차		2.23606798	1394	1381.09	1339.66	1379.85
117	234 주차		2.23606798	1369	1378.39	1337.04	1377.15
118	236 주차		2.23606798	1413	1386.13	1344.55	1384.89
119	238 주차		2.23606798	1360	1380.29	1338.88	1379.05
120	240 주차		2.23606798	1392	1382.76	1341.28	1381.52
